type,time_start,time_end,score
speech_segment,0.00,0.86,
speech_segment,1.19,3.12,
speech_segment,4.31,7.67,
speech_segment,7.73,10.01,
speech_segment,10.05,11.12,
speech_segment,11.13,14.71,
speech_segment,14.72,15.54,
speech_segment,15.56,20.00,
speech_segment,19.94,20.50,
speech_segment,20.49,24.01,
speech_segment,24.06,24.64,
speech_segment,24.91,27.01,
speech_segment,27.24,27.83,
speech_segment,27.83,28.72,
speech_segment,28.70,29.35,
speech_segment,29.56,30.24,
speech_segment,30.18,31.11,
speech_segment,31.09,31.69,
speech_segment,31.62,34.02,
speech_segment,34.26,36.40,
speech_segment,36.60,42.22,
speech_segment,42.17,46.79,
speech_segment,46.75,50.58,
speech_segment,50.72,52.75,
speech_segment,52.66,58.59,
speech_segment,58.50,61.84,
speech_segment,62.06,64.53,
speech_segment,64.62,65.88,
speech_segment,67.71,74.66,
speech_segment,75.49,81.37,
speech_segment,81.31,83.04,
speech_segment,83.02,87.03,
speech_segment,87.51,89.53,
speech_segment,89.47,91.18,
speech_segment,91.44,94.17,
speech_segment,94.20,103.10,
speech_segment,103.31,104.82,
speech_segment,104.80,108.10,
speech_segment,108.22,111.52,
speech_segment,111.55,114.22,
speech_segment,114.32,121.64,
speech_segment,122.36,127.72,
speech_segment,127.65,130.84,
speech_segment,130.80,133.48,
speech_segment,133.47,135.27,
speech_segment,135.24,138.83,
speech_segment,139.21,145.59,
speech_segment,145.67,149.73,
speech_segment,150.46,154.01,
speech_segment,154.14,161.20,
speech_segment,161.40,168.42,
speech_segment,168.53,169.37,
speech_segment,169.58,174.92,
speech_segment,175.40,176.51,
speech_segment,176.48,181.67,
speech_segment,181.66,183.48,
speech_segment,183.67,184.70,
speech_segment,186.69,189.24,
speech_segment,189.51,194.14,
speech_segment,194.27,200.99,
speech_segment,201.13,202.50,
speech_segment,203.17,208.29,
speech_segment,208.34,210.51,
speech_segment,211.04,213.37,
speech_segment,213.61,219.48,
speech_segment,219.45,222.17,
speech_segment,222.14,223.84,
speech_segment,224.03,226.70,
speech_segment,227.34,231.48,
speech_segment,231.63,236.13,
speech_segment,236.19,239.46,
speech_segment,240.36,242.86,
speech_segment,243.27,245.26,
speech_segment,245.22,248.15,
speech_segment,248.25,249.64,
speech_segment,249.58,255.80,
speech_segment,255.81,259.45,
speech_segment,259.49,262.83,
speech_segment,263.50,271.71,
speech_segment,271.73,279.23,
speech_segment,291.07,291.66,
speech_segment,300.94,301.52,
speech_segment,302.68,303.27,
speech_segment,303.47,304.02,
speech_segment,306.12,306.76,
speech_segment,343.68,346.29,
speech_segment,346.35,347.27,
speech_segment,347.26,352.93,
speech_segment,353.05,354.93,
speech_segment,354.96,357.52,
speech_segment,358.35,361.57,
speech_segment,362.31,370.19,
speech_segment,370.92,373.24,
speech_segment,375.12,379.31,
speech_segment,379.55,380.30,
speech_segment,382.09,390.08,
speech_segment,390.00,393.62,
speech_segment,393.84,400.83,
speech_segment,400.94,406.91,
speech_segment,408.11,422.73,
speech_segment,422.79,426.07,
speech_segment,426.45,432.72,
speech_segment,432.76,434.21,
speech_segment,434.56,437.36,
speech_segment,438.66,439.64,
speech_segment,439.72,444.21,
speech_segment,444.95,452.50,
speech_segment,452.45,456.98,
speech_segment,456.94,460.16,
speech_segment,460.18,462.59,
speech_segment,462.52,464.28,
speech_segment,464.20,464.96,
speech_segment,464.95,466.35,
speech_segment,468.55,474.14,
speech_segment,474.25,480.26,
speech_segment,480.45,487.27,
speech_segment,487.33,488.11,
speech_segment,488.06,491.13,
speech_segment,491.42,499.97,
speech_segment,499.99,502.73,
speech_segment,502.85,505.61,
speech_segment,506.19,512.35,
speech_segment,512.96,517.42,
speech_segment,532.23,532.76,
speech_segment,553.36,553.97,
speech_segment,580.45,581.00,
speech_segment,610.85,611.38,
speech_segment,629.70,630.23,
speech_segment,636.85,637.40,
speech_segment,725.78,736.03,
speech_segment,735.99,737.99,
speech_segment,738.08,742.53,
speech_segment,742.69,745.42,
speech_segment,751.83,759.77,
speech_segment,759.89,761.17,
speech_segment,761.47,765.00,
speech_segment,769.86,773.73,
speech_segment,773.73,775.77,
